"","IRI","label","Defs","type","ID.short","ID","label.final","label.nospace"
"1","http://purl.obolibrary.org/obo/UBERON_0003077","paraxial mesoderm","The paraxial mesoderm is the mesoderm located bilaterally adjacent to the notochord and neural tube[GO].","class","UBERON_0003077","UBERON_0003077","paraxial_mesoderm","paraxial_mesoderm"
"2","http://purl.obolibrary.org/obo/GO_0051960","regulation of nervous system development","Any process that modulates the frequency, rate or extent of nervous system development, the origin and formation of nervous tissue.","class","GO_0051960","GO_0051960","regulation_of_nervous_system_development","regulation_of_nervous_system_development"
"3","http://purl.obolibrary.org/obo/UBERON_0001205","submucosa of small intestine","Submucosal tissue in the small intestines.","class","UBERON_0001205","UBERON_0001205","submucosa_of_small_intestine","submucosa_of_small_intestine"
"4","http://purl.obolibrary.org/obo/PATO_0000451","obsolete pilosity value","","class","PATO_0000451","PATO_0000451","obsolete_pilosity_value","obsolete_pilosity_value"
"5","http://purl.obolibrary.org/obo/CHEBI_36916","cation","A monoatomic or polyatomic species having one or more elementary charges of the proton.","class","CHEBI_36916","CHEBI_36916","cation","cation"
"6","http://purl.obolibrary.org/obo/GO_0060842","arterial endothelial cell differentiation","The process in which a relatively unspecialized endothelial cell acquires specialized features of an arterial endothelial cell, a thin flattened cell that lines the inside surfaces of arteries.","class","GO_0060842","GO_0060842","arterial_endothelial_cell_differentiation","arterial_endothelial_cell_differentiation"
"7","http://purl.obolibrary.org/obo/PATO_0001519","sound quality","A quality inhering in a bearer by virtue of vibration, as perceived by the sense of hearing.","class","PATO_0001519","PATO_0001519","sound_quality","sound_quality"
"8","http://purl.obolibrary.org/obo/GO_0003253","cardiac neural crest cell migration involved in outflow tract morphogenesis","The orderly movement of a neural crest cell from one site to another that will contribute to the morphogenesis of the outflow tract.","class","GO_0003253","GO_0003253","cardiac_neural_crest_cell_migration_involved_in_outflow_tract_morphogenesis","cardiac_neural_crest_cell_migration_involved_in_outflow_tract_morphogenesis"
"9","http://purl.obolibrary.org/obo/GO_0060795","cell fate commitment involved in formation of primary germ layer","The commitment of cells to specific cell fates of the endoderm, ectoderm, or mesoderm as a part of gastrulation.","class","GO_0060795","GO_0060795","cell_fate_commitment_involved_in_formation_of_primary_germ_layer","cell_fate_commitment_involved_in_formation_of_primary_germ_layer"
"10","http://purl.obolibrary.org/obo/CHEBI_37175","organic hydride","","class","CHEBI_37175","CHEBI_37175","organic_hydride","organic_hydride"
"11","http://purl.obolibrary.org/obo/UBERON_0010221","laryngeal associated mesenchyme","","class","UBERON_0010221","UBERON_0010221","laryngeal_associated_mesenchyme","laryngeal_associated_mesenchyme"
"12","http://purl.obolibrary.org/obo/UBERON_0036285","wall of left ventricle","Wall of ventricle which is continuous with the wall of aorta.","class","UBERON_0036285","UBERON_0036285","wall_of_left_ventricle","wall_of_left_ventricle"
"13","http://purl.obolibrary.org/obo/UBERON_0001805","autonomic ganglion","Ganglion that has dendrites that form a junction between autonomic nerves originating from the central nervous system and autonomic nerves innervating their target organs in the periphery. There are two subtypes, sympathetic ganglion and parasympathetic ganglion.","class","UBERON_0001805","UBERON_0001805","autonomic_ganglion","autonomic_ganglion"
"14","http://purl.obolibrary.org/obo/BSPO_0000088","compartment boundary","","class","BSPO_0000088","BSPO_0000088","compartment_boundary","compartment_boundary"
"15","http://purl.obolibrary.org/obo/CHEBI_28976","carbonic acid","","class","CHEBI_28976","CHEBI_28976","carbonic_acid","carbonic_acid"
"16","http://purl.obolibrary.org/obo/PATO_0000429","","","class","PATO_0000429","PATO_0000429","[iri=""PATO_0000429""]","[iri=""PATO_0000429""]"
"17","http://purl.obolibrary.org/obo/UBERON_0004242","bronchus smooth muscle","A portion of smooth muscle tissue that is part of a bronchus [Automatically generated definition].","class","UBERON_0004242","UBERON_0004242","bronchus_smooth_muscle","bronchus_smooth_muscle"
"18","http://purl.obolibrary.org/obo/NCBITaxon_40674","Mammalia","","class","NCBITaxon_40674","NCBITaxon_40674","Mammalia","Mammalia"
"19","http://purl.obolibrary.org/obo/GO_0009892","negative regulation of metabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism.","class","GO_0009892","GO_0009892","negative_regulation_of_metabolic_process","negative_regulation_of_metabolic_process"
"20","http://purl.obolibrary.org/obo/UBERON_0001555","digestive tract","A tube extending from the mouth to the anus.","class","UBERON_0001555","UBERON_0001555","digestive_tract","digestive_tract"
"21","http://purl.obolibrary.org/obo/PATO_0002215","falciform","A shape quality inhering in a bearer by virtue of the bearer\'s having the shape of a scythe or sickle.","class","PATO_0002215","PATO_0002215","falciform","falciform"
"22","http://purl.obolibrary.org/obo/GO_0010934","macrophage cytokine production","The appearance of a macrophage cytokine due to biosynthesis or secretion following a cellular stimulus, resulting in an increase in its intracellular or extracellular levels.","class","GO_0010934","GO_0010934","macrophage_cytokine_production","macrophage_cytokine_production"
"23","http://purl.obolibrary.org/obo/AISM_0000531","conjunctival keel","The cuticular evagination constituted by conjunctiva that is elongated.","class","AISM_0000531","AISM_0000531","conjunctival_keel","conjunctival_keel"
"24","http://purl.obolibrary.org/obo/BFO_0000030","object","","class","BFO_0000030","BFO_0000030","object","object"
"25","http://purl.obolibrary.org/obo/GO_0007268","chemical synaptic transmission","The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse.","class","GO_0007268","GO_0007268","chemical_synaptic_transmission","chemical_synaptic_transmission"
"26","http://purl.obolibrary.org/obo/CL_0000147","pigment cell","A pigment cell is a cell that contains pigment granules.","class","CL_0000147","CL_0000147","pigment_cell","pigment_cell"
"27","http://purl.obolibrary.org/obo/AISM_0004016","premental-glossal conjunctiva","The conjunctiva of the labium that connects the prementum and the glossa.","class","AISM_0004016","AISM_0004016","premental-glossal_conjunctiva","premental-glossal_conjunctiva"
"28","http://purl.obolibrary.org/obo/CHEBI_51143","nitrogen molecular entity","","class","CHEBI_51143","CHEBI_51143","nitrogen_molecular_entity","nitrogen_molecular_entity"
"29","http://purl.obolibrary.org/obo/UBERON_0011298","submucosa of uterine tube","The submucous layer of the wall of the uterine tube.","class","UBERON_0011298","UBERON_0011298","submucosa_of_uterine_tube","submucosa_of_uterine_tube"
